library_name,toy_name,toy_type,age_group_labels,request_number,damage_description,status,damage_created_on
Pune Hub,"Magnetic Drawing Board, Tangram, Puzzle",Toy,1-3 years | 3-5 years,RQ54245,Damage,PENDING,2026-03-15T14:59:07.746
Suman Jain,NE KOP DW ROLE ON PLAY SMALL  DOCTOR SET,Toy,3-5 years | 5-8 years,RQ54241,Pec missing,PENDING,2026-03-15T14:52:00.139
Suman Jain,ELC Shape Sorting Bus-Red,Toy,0-1 years | 1-3 years,RQ54239,1 shape missing ,PENDING,2026-03-15T14:46:31.485
Pune Hub,First Magnetic Puzzles Activity Box : Aquatic Animals,Toy,1-3 years | 3-5 years,RQ54238,Damage ,PENDING,2026-03-15T14:45:56.606
Indore Hub,Head or Tails,Toy,5-8 years | 8-12 years,RQ54237,"1 small coin missing
5 cards are missing
1 manual is missing",PENDING,2026-03-15T14:44:47.813
Indore Hub,Magplay LED Roundels,Toy,3-5 years | 5-8 years,RQ54236,1 manual is missing,PENDING,2026-03-15T14:42:47.592
Indore Hub,Basket ring toss 2in1,Toy,5-8 years | 8-12 years,RQ54235,1 red ball is.missing,PENDING,2026-03-15T14:41:40.975
Indore Hub,Tumbling Tower,Toy,5-8 years | 8-12 years,RQ54234,1 piece is missing ,PENDING,2026-03-15T14:39:23.881
Indore Hub,NE ELC  BUILD AND PLAY AEROPLANE,Toy,1-3 years | 3-5 years,RQ54233,2 pieces are missing,PENDING,2026-03-15T14:38:08.497
Suman Jain,Opposites Up & Down,Books,3-5 years,RQ54232,damage ,PENDING,2026-03-15T14:32:17.56
Ahmedabad HUB,Floating Bath Buddies,Toy,0-1 years | 1-3 years,RQ54231,Part missing ,PENDING,2026-03-15T14:27:44.62
Indore Hub,Elephant,Toy,0-1 years | 1-3 years,RQ54230,"Pouch is.missing
Toy is damaged ",PENDING,2026-03-15T14:20:44.401
Indore Hub,Match and Spell Next Steps,Toy,5-8 years | 8-12 years,RQ54229,"8 small tokens are missing
1 stick is missing
1 small pouch is missing
1 manual is.missong",PENDING,2026-03-15T14:19:39.823
Indore Hub,Words in the Air Space,Toy,3-5 years,RQ54228,"2 coin are missing
1 small pouch is missing 
",PENDING,2026-03-15T14:18:01.81
Indore Hub,Stepping stone,Toy,3-5 years | 5-8 years,RQ54227,"1 card is missing 
1 small pouch is missing
",PENDING,2026-03-15T14:17:09.827
Indore Hub,Building Block in Trolley (Fire),Toy,1-3 years | 3-5 years,RQ54226,"2 wheels are missing 
1 Grey piece is missing
1 yellow piece is missing ",PENDING,2026-03-15T14:16:29.144
Indore Hub,Sakara Aircraft 37,Toy,3-5 years | 5-8 years,RQ54225,"Orange 7 pieces are missing 
Green 4 pieces are missing
Blue 2 pieces are missing
Grey 2 pieces are missing
1 cloth pouch is missing
",PENDING,2026-03-15T14:15:20.244
Indore Hub,Flippy Busy Board,Toy,1-3 years | 3-5 years,RQ54224,"Piece received damaged 
Yellow part is missing 
1 green stand ek hi aaya hai",PENDING,2026-03-15T14:12:49.942
Pune Hub,Human Body | Internal Organs Wooden Puzzle,Toy,1-3 years | 3-5 years,RQ54223,Damage ,PENDING,2026-03-15T14:12:14.649
Indore Hub,Melody Funfair,Toy,0-1 years | 1-3 years,RQ54222,Pouch is missing ,PENDING,2026-03-15T14:11:22.548
Indore Hub,Magnetic Funny Creations,Toy,3-5 years | 5-8 years,RQ54221,"1 small stick is missing
2 balls are missing 
",PENDING,2026-03-15T14:10:59.759
Indore Hub,Super Doctor Play Set,Toy,1-3 years | 3-5 years,RQ54220,"1 big piece is missing 
1 doctor bag is missing ",PENDING,2026-03-15T14:09:32.73
Indore Hub,COOKING SET (NEW)-9803100,Toy,1-3 years | 3-5 years,RQ54218,2 blue pieces are missing ,PENDING,2026-03-15T14:08:34.767
Indore Hub,The Game of Leap & Tumbles,Toy,3-5 years | 5-8 years,RQ54216,"1 timer is missing
3 game player missing",PENDING,2026-03-15T14:05:56.447
Indore Hub,Word Build,Toy,5-8 years | 8-12 years,RQ54215,"1 small pouch
White 2 pieces are missing
Blue 2 pieces are missing",PENDING,2026-03-15T14:04:37.278
Indore Hub,Just Triangles,Toy,0-1 years | 1-3 years,RQ54214,1 piece is missign,PENDING,2026-03-15T14:03:28.434
Indore Hub,COOKING SET (NEW)-9803100,Toy,1-3 years | 3-5 years,RQ54213,"3 blue pieces are missing
1 pouch is missing ",PENDING,2026-03-15T14:02:12.851
Indore Hub,Alphaprints: Wipe Clean Flash Cards Words,Books,0-1 years | 1-3 years,RQ54211,"5 cards are missing
1 pouch is missing ",PENDING,2026-03-15T14:00:39.926
Indore Hub,Moo Town Detective,Toy,5-8 years | 8-12 years,RQ54210,1 card is missing ,PENDING,2026-03-15T13:59:07.685
Indore Hub,"Ramayana combo - Peg dolls, memory cards and snap cards",Toy,3-5 years | 5-8 years,RQ54209,"1 manual is missing 
1 small pouch is missing ",PENDING,2026-03-15T13:58:03.808
Indore Hub,Found it! For When You're Indoors,Toy,3-5 years | 5-8 years,RQ54208,4 cards are missing ,PENDING,2026-03-15T13:55:27.398
Indore Hub,My Little Buggy,Toy,0-1 years | 1-3 years,RQ54207,"1 ball red color
1 flower red color",PENDING,2026-03-15T13:54:15.253
Indore Hub,Magplay Tiles,Toy,3-5 years | 5-8 years,RQ54205,1 square piece is missing,PENDING,2026-03-15T13:34:21.376
Indore Hub,Match it,Toy,3-5 years | 5-8 years,RQ54204,"4 pieces are missing
1 box is missing",PENDING,2026-03-15T13:33:37.5
Indore Hub,Jumping Melodies Keyboard,Toy,0-1 years | 1-3 years,RQ54203,Pouch is missing ,PENDING,2026-03-15T13:33:00.598
Indore Hub,Motown the Police Car,Toy,0-1 years | 1-3 years,RQ54202,Pouch is missing,PENDING,2026-03-15T13:32:22.18
Indore Hub,Cover the Shadow,Toy,1-3 years | 3-5 years,RQ54201,3 wooden coin are missing,PENDING,2026-03-15T13:31:53.982
Indore Hub,Shifu Plugo - Letters,Toy,3-5 years | 5-8 years,RQ54200,"1 piece is missing
",PENDING,2026-03-15T13:29:57.335
Indore Hub,Amazing Outer Space Solar System 60 Pieces Jigsaw Floor Puzzle with 4 Double Sided Flashcards,Toy,3-5 years | 5-8 years,RQ54199,"1 piece is missing 
",PENDING,2026-03-15T13:28:20.25
Indore Hub,Tidy Up,Toy,3-5 years | 5-8 years,RQ54198,"1 dies
1 wooden rat
5 card pieces
1 small pouch is missing ",PENDING,2026-03-15T13:27:38.453
Sangita Doshi,Topple,Toy,5-8 years | 8-12 years,RQ54197,"1 orange piece is missing
1 yellow piece is missing
3 pink piece is missing
1 purple is missing
1 pouch is missing
1 manual",PENDING,2026-03-15T13:26:38.38
Indore Hub,Story Time Card Game,Toy,3-5 years | 5-8 years,RQ54196,2 cards are missing,PENDING,2026-03-15T13:25:14.63
Indore Hub,Crane truck set 9959,Toy,1-3 years | 3-5 years,RQ54195,"Crane is damaged
Pouch is missing
Green part is missing ",PENDING,2026-03-15T13:24:42.387
Suman Jain,Rowdy Roadie,Big,3-5 years | 5-8 years | 8-12 years,RQ54191,wheel missing ,PENDING,2026-03-15T12:52:42.415
Pune Hub,Me and My Feelings Storybook Collection,Books,1-3 years,RQ54190,1 book missing ,PENDING,2026-03-15T12:25:12.829
Yogita's Toy Library,33-Piece Wooden Tool Kit Set with Tool Box,Toy,1-3 years | 3-5 years,RQ54189,Pieces missing ,PENDING,2026-03-15T12:07:07.485
Suman Jain,Bath Blocks,Toy,0-1 years | 1-3 years,RQ54185,18 blocks found 13 ,PENDING,2026-03-15T11:37:28.649
Jayshree Pravesh Jain,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ54182,"5 out of 50 pieces where already missing, now 10 more pieces are missing",PENDING,2026-03-15T10:38:30.492
Suman Jain,Builder,Toy,1-3 years | 3-5 years,RQ54180,24 blocks found 16 ,PENDING,2026-03-15T10:17:25.091
Andheri Hub - Mumbai,Super Track Racer - [2058],Toy,0-1 years | 1-3 years,RQ54167,3 cards detameg ,PENDING,2026-03-14T20:50:23.821
Suman Jain,Starry Castle and Fantasy Characters Wooden Blocks,Toy,1-3 years | 3-5 years,RQ54166,Missing 6 wudan ,PENDING,2026-03-14T20:47:51.513
Andheri Hub - Mumbai,TOY TRAIN,Toy,0-1 years | 1-3 years,RQ54165,Dol missing ,PENDING,2026-03-14T20:39:22.014
Andheri Hub - Mumbai,Human Body | Internal Organs Wooden Puzzle,Toy,1-3 years | 3-5 years,RQ54164,Missing parts ,PENDING,2026-03-14T20:35:57.524
Andheri Hub - Mumbai,Wooden Splash & Spin Gear and Maze Board,Toy,0-1 years | 1-3 years,RQ54163,Damage toy ,PENDING,2026-03-14T20:32:57.471
Ahmedabad HUB,Peg the number,Toy,3-5 years | 5-8 years,RQ54162,Part missing ,PENDING,2026-03-14T20:31:46.41
Bangalore - Varthur Hub,The Little Farmer Farm Set | Vegetable Counting & Sorting Education | Activity Pull Along Toy,Toy,1-3 years | 3-5 years,RQ54161,damage,PENDING,2026-03-14T20:28:00.672
Bangalore - Varthur Hub,Moo Town Detective,Toy,5-8 years | 8-12 years,RQ54160,damage,PENDING,2026-03-14T20:27:24.279
Bangalore - Varthur Hub,See N Sort,Toy,1-3 years,RQ54159,damage,PENDING,2026-03-14T20:26:57.678
Bangalore - Varthur Hub,Sakara Aircraft 37,Toy,3-5 years | 5-8 years,RQ54158,damage,PENDING,2026-03-14T20:26:34.007
Bangalore - Varthur Hub,Thirsty Crow Board Game,Toy,3-5 years | 5-8 years,RQ54157,damage,PENDING,2026-03-14T20:26:00.979
Ahmedabad HUB,Junior Abacus,Toy,3-5 years | 5-8 years,RQ54156,Part missing ,PENDING,2026-03-14T20:21:07.565
Ahmedabad HUB,Mega Plane,Books,1-3 years | 3-5 years,RQ54155,Damage ,PENDING,2026-03-14T20:03:14.749
Ahmedabad HUB,Wooden Ice Cream Magnetic Toy Set,Toy,1-3 years | 3-5 years,RQ54154,Part missing ,PENDING,2026-03-14T19:54:18.682
Ahmedabad HUB,Musical Activity Table,Big,0-1 years | 1-3 years | 3-5 years,RQ54153,Part missing ,PENDING,2026-03-14T19:52:17.348
Ahmedabad HUB,Wooden Cloud Shape Pop Up Toy,Toy,3-5 years | 5-8 years,RQ54152,2pop missing ,PENDING,2026-03-14T19:50:12.726
Ahmedabad HUB,Magnetic Block 38,Toy,3-5 years | 5-8 years,RQ54150,Part missing ,PENDING,2026-03-14T19:29:51.393
Ahmedabad HUB,Junior Abacus,Toy,3-5 years | 5-8 years,RQ54149,One part missing ,PENDING,2026-03-14T19:27:02.009
Ahmedabad HUB,Octa Puzzle,Toy,5-8 years | 8-12 years,RQ54148,Part missing ,PENDING,2026-03-14T19:23:22.624
Indore Hub,Bath Toys,Toy,0-1 years | 1-3 years,RQ54147,6 pieces are missing ,PENDING,2026-03-14T19:13:10.895
Indore Hub,Write & Wipe Activity - 123 Numbers,Toy,3-5 years,RQ54146,"16 cards are missing
2 pencils are missing
1 eraser is missing
1 sharpener is missing ",PENDING,2026-03-14T19:11:46.517
Ahmedabad HUB,The ShapeSorter Bus,Toy,1-3 years | 3-5 years,RQ54145,One part missing ,PENDING,2026-03-14T19:09:32.213
Indore Hub,Comb and Shine,Toy,1-3 years | 3-5 years,RQ54144,1 cloth pouch is missing,PENDING,2026-03-14T19:07:29.965
Indore Hub,Match it,Toy,3-5 years | 5-8 years,RQ54143,1 piece is missing ,PENDING,2026-03-14T19:06:48.597
Indore Hub,Hide & Seek : Magical adventure (torch book),Books,1-3 years | 3-5 years,RQ54142,1 page damaged,PENDING,2026-03-14T19:05:46.72
Indore Hub,Head or Tails,Toy,5-8 years | 8-12 years,RQ54141,"6 cards are missing 
1 coin is missing
1 small pouch is missing
1 manual is missing ",PENDING,2026-03-14T19:04:05.048
Indore Hub,COOKING SET (NEW)-9803100,Toy,1-3 years | 3-5 years,RQ54140,1 spoon is missing ,PENDING,2026-03-14T19:02:48.978
Indore Hub,Classic Ball Slider,Toy,0-1 years | 1-3 years,RQ54139,3 balls are missing ,PENDING,2026-03-14T19:00:36.941
Ahmedabad HUB,Town House Set-1,Toy,3-5 years | 5-8 years,RQ54138,12 pic missing ,PENDING,2026-03-14T18:58:48.511
Delhi HUB,Number & Color Wooden Puzzle,Toy,1-3 years | 3-5 years,RQ54137,Missing pieces ,PENDING,2026-03-14T18:58:24.559
Delhi HUB,Magnetic Block 38,Toy,3-5 years | 5-8 years,RQ54136,Missing pieces ,PENDING,2026-03-14T18:56:21.054
Ahmedabad HUB,Premium Wooden Junior Doctor Set,Toy,3-5 years | 5-8 years,RQ54135,Part missing and damage ,PENDING,2026-03-14T18:40:04.055
Hyderabad Hub,ELC Shape Sorting Bus-Red,Toy,0-1 years | 1-3 years,RQ54132,pieces missing,PENDING,2026-03-14T18:22:24.711
Hyderabad Hub,Long Legs,Toy,5-8 years | 8-12 years,RQ54131,pieces missing,PENDING,2026-03-14T18:20:41.187
Hyderabad Hub,Krishna and Kaliya,Books,1-3 years,RQ54130,damage,PENDING,2026-03-14T18:16:40.352
Yogita's Toy Library,Jiggles,Toy,5-8 years | 8-12 years,RQ54128,Not working ,PENDING,2026-03-14T18:03:47.461
Yogita's Toy Library,Jiggles,Toy,5-8 years | 8-12 years,RQ54127,Not working the music twister ,PENDING,2026-03-14T18:02:56.056
Indore Hub,Magplay LED Roundels,Toy,3-5 years | 5-8 years,RQ54126,"1 green piece
2 pink balls are missing ",PENDING,2026-03-14T17:59:15.283
Indore Hub,GAME OF LIFE FS CLASSIC,Toy,5-8 years | 8-12 years,RQ54125,"Pegs pink-2
Pegs blue-1",PENDING,2026-03-14T17:58:33.531
Ahmedabad HUB,Stack a Cake,Toy,3-5 years | 5-8 years,RQ54124,Part missing ,PENDING,2026-03-14T17:55:03.334
Indore Hub,First Magnetic Puzzles Activity Box : Dinosaurs,Toy,1-3 years | 3-5 years,RQ54123,5 pieces are missing,PENDING,2026-03-14T17:52:42.893
Indore Hub,NE ELC  BUILD AND PLAY AEROPLANE,Toy,1-3 years | 3-5 years,RQ54122,1 pouch is missing,PENDING,2026-03-14T17:51:23.829
Ahmedabad HUB,Fun Fair game,Toy,5-8 years | 8-12 years,RQ54121,Ball missing ,PENDING,2026-03-14T17:49:31.23
Indore Hub,Wooden City Building Blocks Set (115 Pieces),Toy,3-5 years | 5-8 years,RQ54118,1 block is missing ,PENDING,2026-03-14T17:38:59.856
Indore Hub,Peg the number,Toy,3-5 years | 5-8 years,RQ54117,"1 pouch is missing
1 manual is missing ",PENDING,2026-03-14T17:38:24.644
Indore Hub,The Oasis,Toy,1-3 years | 3-5 years,RQ54116,"1 pink piece is missing
1 silver piece is missing ",PENDING,2026-03-14T17:37:50.116
Indore Hub,Stubby 3D Traffic Light Puzzle,Toy,1-3 years | 3-5 years,RQ54115,"1 blue board is damaged 
",PENDING,2026-03-14T17:37:16.14
Indore Hub,Magnetic Learn to Spell : Objects,Toy,3-5 years | 5-8 years,RQ54114,4 small pieces are missing ,PENDING,2026-03-14T17:36:25.815
Ahmedabad HUB,Musical Animal Wooden Toy Truck,Toy,1-3 years | 3-5 years,RQ54112,Broken and damage ,PENDING,2026-03-14T17:16:45.354
Indore Hub,Magplay LED Roundels,Toy,3-5 years | 5-8 years,RQ54108,"4 purple pieces are missing
6 red missing
3 green missing
4 blue missing
3 brown missing
3 orange missing
7 balls are missing


Sharing before and after picture",PENDING,2026-03-14T16:18:54.937
Indore Hub,Funny Money - Cashier,Toy,3-5 years | 5-8 years,RQ54107,Toy is damaged,PENDING,2026-03-14T16:16:07.476
Ahmedabad HUB,NE KOP DW ROLE ON PLAY SMALL CHEF SET,Toy,3-5 years | 5-8 years,RQ54105,Part missing ,PENDING,2026-03-14T16:00:41.628
Ahmedabad HUB,Supreme Kitchen Set,Toy,1-3 years | 3-5 years,RQ54104,Spoons missing ,PENDING,2026-03-14T15:59:01.472
Pune Hub,Combi Cubes,Toy,3-5 years | 5-8 years,RQ54103,Timer missing ,PENDING,2026-03-14T15:56:49.242
Ahmedabad HUB,Magnetic Robo Blocks,Toy,1-3 years | 3-5 years,RQ54102,2 pic missing ,PENDING,2026-03-14T15:54:53.392
Ahmedabad HUB,Pull Along Animal Tractor | Animal Building Blocks | Puzzle,Toy,0-1 years | 1-3 years,RQ54101,Damage ,PENDING,2026-03-14T15:52:44.024
Ahmedabad HUB,Pen Control - Write & Wipe Activity,Toy,3-5 years,RQ54100,Marker pen missing ,PENDING,2026-03-14T15:50:27.344
Andheri Hub - Mumbai,MISSION SPACE,Toy,3-5 years | 5-8 years,RQ54099,Missing pieces ,PENDING,2026-03-14T15:40:03.156
Indore Hub,Sakara 66 DIY Dark,Toy,3-5 years | 5-8 years,RQ54098,"1 red piece is missing
1 manual
1 pouch is.mssing",PENDING,2026-03-14T15:35:55.979
Indore Hub,Hexa Wooden Puzzle,Toy,3-5 years | 5-8 years,RQ54097,"2 manual are missing
1 pouch is missing
2 pieces are missing",PENDING,2026-03-14T15:35:22.544
Indore Hub,Perplexus Rebel,Toy,5-8 years | 8-12 years,RQ54096,Ball is damaged,PENDING,2026-03-14T15:34:38.208
Indore Hub,Sequence Classic,Toy,8-12 years,RQ54095,1 red chip is missing ,PENDING,2026-03-14T15:30:38.71
Indore Hub,Magnetopia - Princess and Unicorn Land,Toy,3-5 years | 5-8 years,RQ54094,1 pouch is missing ,PENDING,2026-03-14T15:30:00.219
Indore Hub,Dog & the Bone,Toy,5-8 years | 8-12 years,RQ54093,"1 small pouch is missing
1 big pouch is missing
1 manual is missing
1 white piece is missing
2 dogs are missing
3 bones are missing
",PENDING,2026-03-14T15:28:46.227
Andheri Hub - Mumbai,Waffel,Toy,1-3 years | 3-5 years,RQ54092,Damage ,PENDING,2026-03-14T15:20:50.937
Indore Hub,Super Track Racer - [2058],Toy,0-1 years | 1-3 years,RQ54090,"Received different car

All cars are missing",PENDING,2026-03-14T15:14:56.85
Andheri Hub - Mumbai,Woobly Warm,Toy,3-5 years,RQ54088,Bettry cover missing ,PENDING,2026-03-14T15:02:18.298
Andheri Hub - Mumbai,Wooden Bread Pop-up Toaster Toy,Toy,1-3 years | 3-5 years,RQ54087,Missing parts ,PENDING,2026-03-14T14:58:50.379
Andheri Hub - Mumbai,Kitchen Play Set | Beech Wood Cooking Set (9 Pcs),Toy,1-3 years | 3-5 years,RQ54086,Damage ,PENDING,2026-03-14T14:50:12.134
Andheri Hub - Mumbai,Tool Box,Toy,3-5 years | 5-8 years,RQ54085,Damage and missing ,PENDING,2026-03-14T14:46:30.769
Indore Hub,Basket ring toss 2in1,Toy,5-8 years | 8-12 years,RQ54083,"1 blue ball is missing
2 blue ball are missing",PENDING,2026-03-14T14:31:23.935
Indore Hub,Add 10,Toy,3-5 years | 5-8 years,RQ54082,1 card is missing,PENDING,2026-03-14T14:29:19.188
Pune Hub,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ54080,20 piece missing ,PENDING,2026-03-14T14:19:24.93
Gurgaon Hub,Super Doctor Play Set,Toy,1-3 years | 3-5 years,RQ54079,pieces missing,PENDING,2026-03-14T13:57:30.156
Gurgaon Hub,Waffel,Toy,1-3 years | 3-5 years,RQ54077,Damage,PENDING,2026-03-14T13:53:47.815
Andheri Hub - Mumbai,Teeth or Treat,Toy,3-5 years | 5-8 years,RQ54076,1 die 64 token missing ,PENDING,2026-03-14T13:51:29.792
Andheri Hub - Mumbai,SMARTPHONE,Toy,0-1 years | 1-3 years,RQ54074,Bettery sprk damage ,PENDING,2026-03-14T13:44:41.019
Suman Jain,Plugo Detective,Toy,5-8 years | 8-12 years,RQ54072,Pec missing,PENDING,2026-03-14T13:25:02.464
Suman Jain,Shifu Plugo - Letters,Toy,3-5 years | 5-8 years,RQ54069,48 letter found 44,PENDING,2026-03-14T12:16:52.216
Hyderabad Hub,NE KOP DW ROLE ON PLAY SMALL CHEF SET,Toy,3-5 years | 5-8 years,RQ54067,THIS TOY PICES MISSING,PENDING,2026-03-14T12:05:48.355
Hyderabad Hub,Junior Abacus,Toy,3-5 years | 5-8 years,RQ54066,THIS TOY PICE DAMAGE,PENDING,2026-03-14T12:05:21.296
Akansha Sahu,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ54065,only 35 pc are there rest are missing,PENDING,2026-03-14T11:59:51.242
Vansh Agarwal,Moo Town Detective,Toy,5-8 years | 8-12 years,RQ54064,THIS TOY MISSING ,PENDING,2026-03-14T11:54:04.462
Hyderabad Hub,Wooden Shape and Number House Toy,Toy,1-3 years | 3-5 years,RQ54063,THIS TOY MISSING NUMBERS,PENDING,2026-03-14T11:53:39.296
Andheri Hub - Mumbai,Wooden Splash & Spin Gear and Maze Board,Toy,0-1 years | 1-3 years,RQ54062,Missing parts ,PENDING,2026-03-14T11:44:30.851
Hyderabad Hub,Pizza Game,Toy,3-5 years | 5-8 years,RQ54058,PICES MISSING,PENDING,2026-03-14T10:20:35.166
Andheri Hub - Mumbai,The Witches Annual Race,Toy,5-8 years | 8-12 years,RQ54057,Wooden die missing pieces ,PENDING,2026-03-14T10:01:09.814
Andheri Hub - Mumbai,Slide Junior,Big,0-1 years | 1-3 years,RQ54056,Baal missing ,PENDING,2026-03-14T10:00:25.673
Andheri Hub - Mumbai,Jungle Birds 4 pieces - 24pcs,Toy,0-1 years | 1-3 years,RQ54055,4 pieces missing ,PENDING,2026-03-14T09:19:04.555
Andheri Hub - Mumbai,Mechanix-2,Toy,5-8 years | 8-12 years,RQ54054,Nut box missing ,PENDING,2026-03-14T08:58:13.571
Andheri Hub - Mumbai,NE SS OP Magic Gears,Toy,0-1 years | 1-3 years,RQ54053,Missing parts ,PENDING,2026-03-14T08:54:25.425
Andheri Hub - Mumbai,Mijoy Rice Husk Blocks,Toy,1-3 years | 3-5 years,RQ54052,Missing pieces ,PENDING,2026-03-14T08:41:42.78
Andheri Hub - Mumbai,Magnetic tile - 28 pcs,Toy,3-5 years,RQ54051,Missing 6 pieces ,PENDING,2026-03-14T08:36:39.276
Andheri Hub - Mumbai,Cow Shape Sorter,Toy,0-1 years | 1-3 years,RQ54050,Damage ,PENDING,2026-03-14T08:31:43.994
Andheri Hub - Mumbai,Moo Town Detective,Toy,5-8 years | 8-12 years,RQ54049,Card's missing damage ,PENDING,2026-03-14T08:30:06.707
Andheri Hub - Mumbai,Velocity,Toy,3-5 years,RQ54047,2 pieces puzzle missing ,PENDING,2026-03-14T07:43:43.588
Indore Hub,33-Piece Wooden Tool Kit Set with Tool Box,Toy,1-3 years | 3-5 years,RQ54037,"1 scale is missing
1 pouch is missing ",PENDING,2026-03-14T00:48:47.154
Indore Hub,Word Perfect Junior,Toy,3-5 years,RQ54036,1 timer is missing ,PENDING,2026-03-14T00:31:37.579
Indore Hub,ELC Shape Sorting Bus-Red,Toy,0-1 years | 1-3 years,RQ54035,"1 blue piece is missing
1 pouch is missing",PENDING,2026-03-14T00:27:21.658
Indore Hub,Why Connect,Toy,5-8 years | 8-12 years,RQ54034,"1 cloth pouch is missing
1 note book is missing ",PENDING,2026-03-14T00:25:58.158
Indore Hub,Combi Cubes,Toy,3-5 years | 5-8 years,RQ54033,1 pouch is missing,PENDING,2026-03-14T00:24:33.787
Indore Hub,Ramp Race Track Car,Toy,3-5 years | 5-8 years,RQ54032,1 car is missing,PENDING,2026-03-14T00:24:00.974
Indore Hub,Magnetic Learning Centre,Toy,3-5 years,RQ54031,"2 markers are missing
1 duster is missing
1 small pouch is missing
1 manual is missing ",PENDING,2026-03-14T00:20:58.716
Indore Hub,Jungle Tumble - Wooden stacking game,Toy,3-5 years,RQ54030,Manual is missing ,PENDING,2026-03-14T00:19:58.382
Indore Hub,Kitchen Play Set | Beech Wood Cooking Set (9 Pcs),Toy,1-3 years | 3-5 years,RQ54029,"1 pan is missing
1 small pouch is missing",PENDING,2026-03-14T00:17:36.115
Indore Hub,Sweet Treat - Waffle Maker Green Color,Toy,1-3 years | 3-5 years,RQ54028,"1 tong is missing (red piece)
Sharing before and after picture",PENDING,2026-03-14T00:16:22.312
Indore Hub,Combi Cubes,Toy,3-5 years | 5-8 years,RQ54027,1 yellow piece is missing,PENDING,2026-03-14T00:15:24.506
Indore Hub,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ54026,"1 purple big piece is missing
18 balls are missing
1 pouch is missing",PENDING,2026-03-14T00:14:42.694
Indore Hub,Sensory Shapes Playset,Toy,0-1 years | 1-3 years,RQ54024,"1 purple piece is missing
1 pouch is missing",PENDING,2026-03-14T00:13:49.396
Indore Hub,Sakara 66 DIY Light,Toy,3-5 years | 5-8 years,RQ54022,1 pouch is missing,PENDING,2026-03-13T23:41:42.891
Indore Hub,Dinosaur World (9 Piece),Toy,1-3 years | 3-5 years,RQ54021,1 pouch is missing,PENDING,2026-03-13T23:40:59.703
Indore Hub,Advance Shape Stacker,Toy,1-3 years | 3-5 years,RQ54020,1 Pentagon is missing ,PENDING,2026-03-13T23:40:37.918
Indore Hub,NE ELC TWIST AND TURN HOUSE,Toy,1-3 years,RQ54019,1 pouch is missing,PENDING,2026-03-13T23:40:12.706
Indore Hub,Sakara 66 DIY Dark,Toy,3-5 years | 5-8 years,RQ54018,2 Grey pieces are missing,PENDING,2026-03-13T23:39:40.758
Indore Hub,Wooden Birthday cake set,Toy,1-3 years | 3-5 years,RQ54017,1 small pouch is missing,PENDING,2026-03-13T23:39:17.297
Indore Hub,Magnetic roundel 36,Toy,3-5 years | 5-8 years,RQ54016,"Pink-1 ball missing
Green-3 balls
Manual is missing ",PENDING,2026-03-13T23:38:55.291
Indore Hub,PEPPLAY DOUGH ART KIT - NATURE,Toy,3-5 years | 5-8 years,RQ54015,"1 shaping tool
1 small pouch",PENDING,2026-03-13T23:38:11.752
Indore Hub,My Magic Wheel: Animals Around Me,Books,3-5 years,RQ54014,Wheel is missing,PENDING,2026-03-13T23:37:35.27
Indore Hub,Adventure Await - Marine World,Toy,1-3 years | 3-5 years,RQ54013,"1 manual is missing 
1 pouch
1 stand black",PENDING,2026-03-13T23:36:24.387
Indore Hub,Sword & Shield Roman,Toy,3-5 years,RQ54012,"Pouch is missing 
Sword is damaged",PENDING,2026-03-13T23:35:14.269
Indore Hub,Super Sentence,Toy,5-8 years | 8-12 years,RQ54011,1 small pouch,PENDING,2026-03-13T23:33:53.733
Indore Hub,Wiggly Words,Toy,5-8 years | 8-12 years,RQ54010,2 pieces are missing ,PENDING,2026-03-13T23:33:20.479
Indore Hub,Countries Currency Sudoku,Toy,5-8 years | 8-12 years,RQ54009,1 piece is missing ,PENDING,2026-03-13T23:32:50.08
Indore Hub,Little Bus Lotto,Toy,3-5 years | 5-8 years,RQ54008,1 piece is missing,PENDING,2026-03-13T23:32:13.756
Indore Hub,Shifu Plugo - Letters,Toy,3-5 years | 5-8 years,RQ54007,Pouch missing ,PENDING,2026-03-13T23:31:48.914
Ahmedabad HUB,NE ELC TWIST AND TURN HOUSE,Toy,1-3 years,RQ53998,One ball missing ,PENDING,2026-03-13T20:02:17.574
Ahmedabad HUB,2 in 1 Magnetic Fishing,Toy,1-3 years | 3-5 years,RQ53997,One stick missing ,PENDING,2026-03-13T19:55:31.318
Indore Hub,Pegboard Picasso,Toy,3-5 years | 5-8 years,RQ53996,1 piece is missing ,PENDING,2026-03-13T19:51:29.219
Indore Hub,Sakara 66 DIY Light,Toy,3-5 years | 5-8 years,RQ53995,"1 pink piece is missing 
1 brown is missing 
1 blue piece is missing ",PENDING,2026-03-13T19:50:36.325
Indore Hub,Crossword Upwards,Toy,3-5 years | 5-8 years,RQ53994,1 letter is missing ,PENDING,2026-03-13T19:47:49.014
